"Activity" "Variable" "dir" "mean" "meanFreq" "std"
"STANDING" "fBodyBodyGyroJerkMag" "" -0.974885979685205 0.0848650395195068 -0.973461064197272
"STANDING" "fBodyBodyGyroMag" "" -0.94790849906086 -0.183705132389758 -0.93063670339979
"STANDING" "fBodyGyro" "X" -0.943654258352571 -0.227494715950519 -0.946971557429171
"STANDING" "fBodyGyro" "Y" -0.965302753756558 -0.216012369878284 -0.959498600608604
"STANDING" "fBodyGyro" "Z" -0.958384988536201 -0.0914293859460278 -0.960689223903463
"STANDING" "tBodyAcc" "X" 0.279153494050367 NA -0.98443471156873
"STANDING" "tBodyAcc" "Y" -0.016151886473745 NA -0.932508714024134
"STANDING" "tBodyAcc" "Z" -0.106586908690788 NA -0.939913504673138
"STANDING" "tBodyAccJerk" "X" 0.0750279173525708 NA -0.97996855569255
"STANDING" "tBodyAccJerk" "Y" 0.00880525863452886 NA -0.964342752203568
"STANDING" "tBodyAccJerk" "Z" -0.00458206132902833 NA -0.979485931469045
"STANDING" "tBodyAccJerkMag" "" -0.97711802452256 NA -0.971452977271773
"STANDING" "tBodyAccMag" "" -0.954179661789087 NA -0.946534779481637
"STANDING" "tBodyGyro" "X" -0.0266871408413746 NA -0.94552836296957
"STANDING" "tBodyGyro" "Y" -0.0677118654705719 NA -0.961293278672613
"STANDING" "tBodyGyro" "Z" 0.0801422394994229 NA -0.957053051274921
"STANDING" "tBodyGyroJerk" "X" -0.0997292806919727 NA -0.966957942859391
"STANDING" "tBodyGyroJerk" "Y" -0.0423171100101784 NA -0.980263299260231
"STANDING" "tBodyGyroJerk" "Z" -0.052095548445404 NA -0.977067117235047
"STANDING" "tBodyGyroJerkMag" "" -0.978697092402938 NA -0.973528580524659
"STANDING" "tBodyGyroMag" "" -0.942152523158447 NA -0.929531182355719
"STANDING" "tGravityAcc" "X" 0.941479635262329 NA -0.988015176652676
"STANDING" "tGravityAcc" "Y" -0.18424651390288 NA -0.969351769994753
"STANDING" "tGravityAcc" "Z" -0.0140519613122015 NA -0.953082525826338
"STANDING" "tGravityAccMag" "" -0.954179661789087 NA -0.946534779481637
"SITTING" "fBodyAcc" "X" -0.983091966702307 -0.0426402475024423 -0.983747266764209
"SITTING" "fBodyAcc" "Y" -0.947917966193585 0.0653031714930951 -0.932533490271469
"SITTING" "fBodyAcc" "Z" -0.957031035425999 0.0802983762109857 -0.934336687975915
"SITTING" "fBodyAccJerk" "X" -0.985188769302195 0.185014353841248 -0.98618495368036
"SITTING" "fBodyAccJerk" "Y" -0.973988189836804 -0.0583108773539561 -0.975750855391109
"SITTING" "fBodyAccJerk" "Z" -0.97956197226224 0.00299622469976759 -0.983670821046708
"SITTING" "fBodyAccMag" "" -0.952410413225098 0.114105393420517 -0.942000150701182
"SITTING" "fBodyBodyAccJerkMag" "" -0.978684370388295 0.281460817910214 -0.978154770658413
"SITTING" "fBodyBodyGyroJerkMag" "" -0.985335632976927 0.177738590515189 -0.984491355740011
"SITTING" "fBodyBodyGyroMag" "" -0.964296113911086 -0.076439552620045 -0.951641735873945
"SITTING" "fBodyGyro" "X" -0.977267261395611 0.0625911646973101 -0.982333273978616
"SITTING" "fBodyGyro" "Y" -0.972457592965672 -0.218028334561964 -0.964033658897017
"SITTING" "fBodyGyro" "Z" -0.961028716797974 -0.0126999936364434 -0.961030235486775
"SITTING" "tBodyAcc" "X" 0.273059614418965 NA -0.983446221750141
"SITTING" "tBodyAcc" "Y" -0.0126895730832639 NA -0.934880562895515
"SITTING" "tBodyAcc" "Z" -0.105517003220878 NA -0.938981580616207
"SITTING" "tBodyAccJerk" "X" 0.0758788492274395 NA -0.984997226336522
"SITTING" "tBodyAccJerk" "Y" 0.00504690529678683 NA -0.973883160517726
"SITTING" "tBodyAccJerk" "Z" -0.0024866605775919 NA -0.982296486972425
"SITTING" "tBodyAccJerkMag" "" -0.98244444337085 NA -0.978907079240293
"SITTING" "tBodyAccMag" "" -0.95464392144063 NA -0.939324188353517
"SITTING" "tBodyGyro" "X" -0.0384313168439482 NA -0.981022213218908
"SITTING" "tBodyGyro" "Y" -0.0721208098964153 NA -0.966708127310073
"SITTING" "tBodyGyro" "Z" 0.0777771461510523 NA -0.958007496724817
"SITTING" "tBodyGyroJerk" "X" -0.0956521058184581 NA -0.985705127658976
"SITTING" "tBodyGyroJerk" "Y" -0.040779780524009 NA -0.986502338745076
"SITTING" "tBodyGyroJerk" "Z" -0.0507555280236061 NA -0.983805514068655
"SITTING" "tBodyGyroJerkMag" "" -0.987880071435003 NA -0.98460762855937
"SITTING" "tBodyGyroMag" "" -0.946724138930782 NA -0.951199015615082
"SITTING" "tGravityAcc" "X" 0.879731193472144 NA -0.979682230393922
"SITTING" "tGravityAcc" "Y" 0.108713540331707 NA -0.957672740350591
"SITTING" "tGravityAcc" "Z" 0.153774088505577 NA -0.947357438593134
"SITTING" "tGravityAccMag" "" -0.95464392144063 NA -0.939324188353517
"WALKING_DOWNSTAIRS" "fBodyAcc" "X" 0.035259668648926 -0.400019573396373 0.121937984843535
"WALKING_DOWNSTAIRS" "fBodyAcc" "Y" 0.0566826541965861 0.000603134408748222 -0.0082336714233357
"WALKING_DOWNSTAIRS" "fBodyAcc" "Z" -0.21372923278293 0.0924263373459659 -0.245872896782916
"WALKING_DOWNSTAIRS" "fBodyAccJerk" "X" -0.0722967761178656 -0.314941325453129 -0.0821905158144886
"WALKING_DOWNSTAIRS" "fBodyAccJerk" "Y" -0.116380593184566 -0.386044309466579 -0.091416460479564
"WALKING_DOWNSTAIRS" "fBodyAccJerk" "Z" -0.333190280461238 -0.23740280265473 -0.443554664639787
"WALKING_DOWNSTAIRS" "fBodyAccMag" "" 0.142849426284481 0.0250364653867319 -0.0754251669550853
"WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "" 0.00476245916278094 0.0200704059537717 -0.0422714225290824
"WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag" "" -0.438007290282333 0.0957588246085356 -0.486442976081671
"WALKING_DOWNSTAIRS" "fBodyBodyGyroMag" "" -0.289525832505356 0.0671727851545073 -0.361230992213905
"WALKING_DOWNSTAIRS" "fBodyGyro" "X" -0.217922875601003 -0.170016349676807 -0.375127467913848
"WALKING_DOWNSTAIRS" "fBodyGyro" "Y" -0.317592694113158 -0.0440853930714011 -0.36185368284522
"WALKING_DOWNSTAIRS" "fBodyGyro" "Z" -0.16562514453862 -0.0187917610518457 -0.38040999928478
"WALKING_DOWNSTAIRS" "tBodyAcc" "X" 0.288137227760313 NA 0.100766330932127
"WALKING_DOWNSTAIRS" "tBodyAcc" "Y" -0.0163119254923574 NA 0.0595486228783642
"WALKING_DOWNSTAIRS" "tBodyAcc" "Z" -0.105761624860013 NA -0.190804507442162
"WALKING_DOWNSTAIRS" "tBodyAccJerk" "X" 0.0892266917679481 NA -0.0338826468930654
"WALKING_DOWNSTAIRS" "tBodyAccJerk" "Y" 0.000746749097403983 NA -0.0736744063550434
"WALKING_DOWNSTAIRS" "tBodyAccJerk" "Z" -0.00872860399406828 NA -0.388666069444772
"WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "" -0.111801821250135 NA -0.011220665881458
"WALKING_DOWNSTAIRS" "tBodyAccMag" "" 0.101249699851558 NA 0.116488914352198
"WALKING_DOWNSTAIRS" "tBodyGyro" "X" -0.0840345434632895 NA -0.333817475057255
"WALKING_DOWNSTAIRS" "tBodyGyro" "Y" -0.0529928638977233 NA -0.339631376954339
"WALKING_DOWNSTAIRS" "tBodyGyro" "Z" 0.0946781961059175 NA -0.272809910672304
"WALKING_DOWNSTAIRS" "tBodyGyroJerk" "X" -0.0728532273938407 NA -0.38268977198606
"WALKING_DOWNSTAIRS" "tBodyGyroJerk" "Y" -0.051263979292845 NA -0.465943810555121
"WALKING_DOWNSTAIRS" "tBodyGyroJerk" "Z" -0.0546961525371337 NA -0.326455992480064
"WALKING_DOWNSTAIRS" "tBodyGyroJerkMag" "" -0.416891551237909 NA -0.440929331631124
"WALKING_DOWNSTAIRS" "tBodyGyroMag" "" -0.129785639782795 NA -0.251427800988919
"WALKING_DOWNSTAIRS" "tGravityAcc" "X" 0.926457404928876 NA -0.949748838733997
"WALKING_DOWNSTAIRS" "tGravityAcc" "Y" -0.168507222023357 NA -0.934266078534851
"WALKING_DOWNSTAIRS" "tGravityAcc" "Z" -0.0479709004743904 NA -0.912460554516358
"WALKING_DOWNSTAIRS" "tGravityAccMag" "" 0.101249699851558 NA 0.116488914352198
"WALKING_UPSTAIRS" "fBodyAcc" "X" -0.293406752279022 -0.436683976651101 -0.218887990072578
"WALKING_UPSTAIRS" "fBodyAcc" "Y" -0.134950514403271 -0.169851327169637 -0.0218110366534067
"WALKING_UPSTAIRS" "fBodyAcc" "Z" -0.368122061042293 -0.265200271104081 -0.146601790497137
"WALKING_UPSTAIRS" "fBodyAccJerk" "X" -0.389896773119819 -0.339080440587254 -0.388992761276127
"WALKING_UPSTAIRS" "fBodyAccJerk" "Y" -0.364666839787014 -0.452501330578951 -0.357632925658886
"WALKING_UPSTAIRS" "fBodyAccJerk" "Z" -0.591670061637306 -0.44116273987351 -0.661590843134715
"WALKING_UPSTAIRS" "fBodyAccMag" "" -0.26202811322658 -0.0532170060678109 -0.361753456901554
"WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "" -0.353961999926425 0.0628726058822474 -0.434206731972435
"WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag" "" -0.658694456439443 0.094112452115136 -0.703083532121114
"WALKING_UPSTAIRS" "fBodyBodyGyroMag" "" -0.449781382648834 -0.168707548570072 -0.381406363802979
"WALKING_UPSTAIRS" "fBodyGyro" "X" -0.394248174023122 -0.212837257343873 -0.49525397668763
"WALKING_UPSTAIRS" "fBodyGyro" "Y" -0.45925346898967 -0.319518692055149 -0.29318182767215
"WALKING_UPSTAIRS" "fBodyGyro" "Z" -0.296857721646179 -0.26034110185728 -0.292041341940868
"WALKING_UPSTAIRS" "tBodyAcc" "X" 0.26229464948342 NA -0.237989747950635
"WALKING_UPSTAIRS" "tBodyAcc" "Y" -0.0259232890342181 NA -0.0160325123253303
"WALKING_UPSTAIRS" "tBodyAcc" "Z" -0.120537934670272 NA -0.175449700484728
"WALKING_UPSTAIRS" "tBodyAccJerk" "X" 0.0767293215286917 NA -0.360863432417876
"WALKING_UPSTAIRS" "tBodyAccJerk" "Y" 0.00875888964679404 NA -0.339226496686328
"WALKING_UPSTAIRS" "tBodyAccJerk" "Z" -0.00600953398545337 NA -0.627063649764249
"WALKING_UPSTAIRS" "tBodyAccJerkMag" "" -0.390938624541516 NA -0.385400351575259
"WALKING_UPSTAIRS" "tBodyAccMag" "" -0.100204123946392 NA -0.249875157023391
"WALKING_UPSTAIRS" "tBodyGyro" "X" 0.00682449600215674 NA -0.46760713827921
"WALKING_UPSTAIRS" "tBodyGyro" "Y" -0.0885225289752966 NA -0.344231806672079
"WALKING_UPSTAIRS" "tBodyGyro" "Z" 0.0598938080367487 NA -0.237136760675842
"WALKING_UPSTAIRS" "tBodyGyroJerk" "X" -0.112117464583562 NA -0.553132758357837
"WALKING_UPSTAIRS" "tBodyGyroJerk" "Y" -0.0386192672141386 NA -0.667339157124352
"WALKING_UPSTAIRS" "tBodyGyroJerk" "Z" -0.0525810278118912 NA -0.560989210937073
"WALKING_UPSTAIRS" "tBodyGyroJerkMag" "" -0.608047148013666 NA -0.666836734071891
"WALKING_UPSTAIRS" "tBodyGyroMag" "" -0.178281147518361 NA -0.337142124176179
"WALKING_UPSTAIRS" "tGravityAcc" "X" 0.875003375958549 NA -0.948191332253886
"WALKING_UPSTAIRS" "tGravityAcc" "Y" -0.281377193548575 NA -0.925549271962435
"WALKING_UPSTAIRS" "tGravityAcc" "Z" -0.14079566587547 NA -0.901905618180052
"WALKING_UPSTAIRS" "tGravityAccMag" "" -0.100204123946392 NA -0.249875157023391
"WALKING" "fBodyAcc" "X" -0.297890931822619 -0.28685827761899 -0.322835798362427
"WALKING" "fBodyAcc" "Y" -0.0423392245272938 0.0518636618040337 -0.0772063416317422
"WALKING" "fBodyAcc" "Z" -0.341840674953966 0.0749560748261487 -0.296078309260848
"WALKING" "fBodyAccJerk" "X" -0.31112743843018 -0.258388290587468 -0.287897688500499
"WALKING" "fBodyAccJerk" "Y" -0.170395065771795 -0.354659109992689 -0.0908699078702335
"WALKING" "fBodyAccJerk" "Z" -0.451010514389593 -0.24068649680518 -0.506329080412654
"WALKING" "fBodyAccMag" "" -0.275558097404657 0.184417205519328 -0.480002278144599
"WALKING" "fBodyBodyAccJerkMag" "" -0.214653971925401 0.0773140386701899 -0.221617770280105
"WALKING" "fBodyBodyGyroJerkMag" "" -0.515516844208937 0.130805801208583 -0.514404823691173
"WALKING" "fBodyBodyGyroMag" "" -0.409173038476359 0.163203814253339 -0.47383309359518
"WALKING" "fBodyGyro" "X" -0.348237370890012 -0.0677418230563182 -0.510431986710081
"WALKING" "fBodyGyro" "Y" -0.388384886139303 -0.0984530711444367 -0.331961524686347
"WALKING" "fBodyGyro" "Z" -0.310406242610407 -0.0721787297258188 -0.410569112536585
"WALKING" "tBodyAcc" "X" 0.276336875325203 NA -0.314644454310285
"WALKING" "tBodyAcc" "Y" -0.0179068331339779 NA -0.0235829464260859
"WALKING" "tBodyAcc" "Z" -0.108881687638618 NA -0.2739207990668
"WALKING" "tBodyAccJerk" "X" 0.0767187377408595 NA -0.267288163330981
"WALKING" "tBodyAccJerk" "Y" 0.0115061924659823 NA -0.103141139217389
"WALKING" "tBodyAccJerk" "Z" -0.00231938614930952 NA -0.479147120981986
"WALKING" "tBodyAccJerkMag" "" -0.241451989838379 NA -0.214555894362491
"WALKING" "tBodyAccMag" "" -0.167937853979757 NA -0.33775398556687
"WALKING" "tBodyGyro" "X" -0.0347275766522822 NA -0.469914839340418
"WALKING" "tBodyGyro" "Y" -0.0694200436104837 NA -0.347921806314175
"WALKING" "tBodyGyro" "Z" 0.0863626487285566 NA -0.338448612532172
"WALKING" "tBodyGyroJerk" "X" -0.0943007119992102 NA -0.37622140274036
"WALKING" "tBodyGyroJerk" "Y" -0.0445701108594715 NA -0.512619067859872
"WALKING" "tBodyGyroJerk" "Z" -0.0540064674427816 NA -0.447427245411672
"WALKING" "tBodyGyroJerkMag" "" -0.460511516745528 NA -0.498841024689745
"WALKING" "tBodyGyroMag" "" -0.274866019270244 NA -0.382629015979094
"WALKING" "tGravityAcc" "X" 0.93499157825784 NA -0.977612074494773
"WALKING" "tGravityAcc" "Y" -0.196713497359117 NA -0.966903875917538
"WALKING" "tGravityAcc" "Z" -0.0538251249015482 NA -0.954597565156794
"WALKING" "tGravityAccMag" "" -0.167937853979757 NA -0.33775398556687
